"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","G2/M DNA damage checkpoint","REAC:R-HSA-69473","false","0.032999366609041146","1.4814943959050892","78","772","13","16535","H2BC8,H4C8,H4C5,H2BC21,H2BC11,H2BC12L,H2BC5,H2BC12,H4C16,H2BC17,H2BC15,H4C15,H4C14"
"REAC","Complement cascade","REAC:R-HSA-166658","false","0.04453497981379869","1.3512987401992413","24","772","7","16535","C3,CFI,CFHR3,C8G,CFHR1,CFH,CLU"
"WP","Senescence associated secretory phenotype SASP ","WP:WP3391","false","8.833839672710799e-11","10.053850487111683","84","772","24","16535","IL1A,H2BC8,H4C8,H2AC19,H4C5,H2BC21,H2AC6,H2BC11,H2AC20,H3C4,H3C10,H2BC12L,H2BC5,H2BC12,H4C16,FOS,H3C6,H2BC17,H2AC8,CXCL8,H2BC15,H4C15,H4C14,CDKN2B"
"WP","Telomere end packaging and neurodevelopmental disorders","WP:WP5567","false","9.76091336376091e-11","10.010509541935573","29","772","15","16535","H4C8,H4C5,H2BC21,H2AC6,H2BC11,H2AC20,H2BC12L,H2BC5,H2BC12,H4C16,H2BC17,H2AC8,H2BC15,H4C15,H4C14"
"WP","Overview of proinflammatory and profibrotic mediators","WP:WP5095","false","6.531017626117915e-10","9.185019144149912","43","772","17","16535","CCL11,CCL5,IL1B,IL1A,AREG,EBI3,CCL7,CSF2,CXCL6,CSF3,CXCL1,CCL2,IL12A,CXCL3,CXCL2,CXCL8,CXCL5"
"WP","Cytokine cytokine receptor interaction","WP:WP5473","false","1.4028951661741163e-8","7.8529747811834465","122","772","26","16535","CCL11,CCL5,IL1A,CX3CR1,CCL7,CSF2,CXCL6,IL34,TGFB2,ACVR1C,CSF3,TNFRSF21,TNFRSF10C,CXCL1,LEPR,CCL2,CXCL3,PRLR,ACKR4,GDF15,CXCL2,CXCL8,TNFSF9,CXCL5,CSF2RB,BMP4"
"WP","Transcription activation RNA polymerase I and KAT2A B and inhibition NuRD complex ","WP:WP5565","false","0.000027661871794811947","4.5581184358444276","62","772","15","16535","H4C8,H4C5,H2BC21,H2AC6,H2BC11,H2AC20,H2BC12L,H2BC5,H2BC12,H4C16,H2BC17,H2AC8,H2BC15,H4C15,H4C14"
"WP","Oligodendrocyte specification and differentiation leading to myelin components for CNS","WP:WP4304","false","0.00004872959391105163","4.31220720780451","16","772","8","16535","IL1B,IGF1,CXCL1,SOX8,CXCL2,BMP2,SOX6,BMP4"
"WP","Network map of SARS CoV 2 signaling","WP:WP5115","false","0.00006983974338749866","4.155897365029836","180","772","26","16535","CCL11,CCL5,SAA2,IL1B,IL1A,SAA1,APOD,OAS2,CXCL6,MX1,BST2,IFI6,CFI,CXCL1,IFI27,CCL2,IFI44L,IL12A,CXCL3,IFIH1,FOS,CFH,CXCL2,CXCL8,CXCL5,RIGI"
"WP","Immune infiltration in pancreatic cancer","WP:WP5285","false","0.00007019863335267478","4.153671342758649","22","772","9","16535","CCL5,IL1B,CSF2,TGFB2,CXCL1,CCL2,IL12A,CXCL8,CXCL5"
