GSM	Title	cell_line	Comparison	Status	Ensembl_ID	Gene	Raw_count	Total_counts	CPM
GSM3752525	HAEC IR+ 3	HAEC	HAEC_IR	Senescent	ENSG00000147883	CDKN2B	1592	195250835	8.153614298243589
GSM3752525	HAEC IR+ 3	HAEC	HAEC_IR	Senescent	ENSG00000169429	CXCL8	22227	195250835	113.83818153709817
GSM3752525	HAEC IR+ 3	HAEC	HAEC_IR	Senescent	ENSG00000170345	FOS	126	195250835	0.6453237447102339
GSM3752526	HUVEC IR- 1	HUVEC	HUVEC_IR	Control	ENSG00000090339	ICAM1	404	181954494	2.220335376822295
GSM3752526	HUVEC IR- 1	HUVEC	HUVEC_IR	Control	ENSG00000115008	IL1A	79	181954494	0.43417449200237945
GSM3752526	HUVEC IR- 1	HUVEC	HUVEC_IR	Control	ENSG00000147883	CDKN2B	971	181954494	5.3364991358773475
GSM3752526	HUVEC IR- 1	HUVEC	HUVEC_IR	Control	ENSG00000169429	CXCL8	6959	181954494	38.24582645372859
GSM3752526	HUVEC IR- 1	HUVEC	HUVEC_IR	Control	ENSG00000170345	FOS	90	181954494	0.4946291681039766
GSM3752527	HUVEC IR- 2	HUVEC	HUVEC_IR	Control	ENSG00000090339	ICAM1	293	162483370	1.8032614660811135
GSM3752527	HUVEC IR- 2	HUVEC	HUVEC_IR	Control	ENSG00000115008	IL1A	41	162483370	0.2523335157314869
GSM3752527	HUVEC IR- 2	HUVEC	HUVEC_IR	Control	ENSG00000147883	CDKN2B	696	162483370	4.283515291441826
GSM3752527	HUVEC IR- 2	HUVEC	HUVEC_IR	Control	ENSG00000169429	CXCL8	6078	162483370	37.40690508819456
GSM3752527	HUVEC IR- 2	HUVEC	HUVEC_IR	Control	ENSG00000170345	FOS	102	162483370	0.6277565513319917
GSM3752528	HUVEC IR- 3	HUVEC	HUVEC_IR	Control	ENSG00000090339	ICAM1	372	175399837	2.1208685615825287
GSM3752528	HUVEC IR- 3	HUVEC	HUVEC_IR	Control	ENSG00000115008	IL1A	87	175399837	0.4960095829507527
GSM3752528	HUVEC IR- 3	HUVEC	HUVEC_IR	Control	ENSG00000147883	CDKN2B	805	175399837	4.589513957187999
GSM3752528	HUVEC IR- 3	HUVEC	HUVEC_IR	Control	ENSG00000169429	CXCL8	7936	175399837	45.245195980427276
GSM3752528	HUVEC IR- 3	HUVEC	HUVEC_IR	Control	ENSG00000170345	FOS	114	175399837	0.6499435914527104
GSM3752529	HUVEC IR+ 1	HUVEC	HUVEC_IR	Senescent	ENSG00000090339	ICAM1	1150	173510786	6.627830041643636
GSM3752529	HUVEC IR+ 1	HUVEC	HUVEC_IR	Senescent	ENSG00000115008	IL1A	46	173510786	0.2651132016657454
GSM3752529	HUVEC IR+ 1	HUVEC	HUVEC_IR	Senescent	ENSG00000147883	CDKN2B	1149	173510786	6.622066711172641
GSM3752529	HUVEC IR+ 1	HUVEC	HUVEC_IR	Senescent	ENSG00000169429	CXCL8	5198	173510786	29.957791788229237
GSM3752529	HUVEC IR+ 1	HUVEC	HUVEC_IR	Senescent	ENSG00000170345	FOS	61	173510786	0.35156315873066246
GSM3752530	HUVEC IR+ 2	HUVEC	HUVEC_IR	Senescent	ENSG00000090339	ICAM1	1148	145285986	7.901656805357675
GSM3752530	HUVEC IR+ 2	HUVEC	HUVEC_IR	Senescent	ENSG00000115008	IL1A	52	145285986	0.3579147681869331
GSM3752530	HUVEC IR+ 2	HUVEC	HUVEC_IR	Senescent	ENSG00000147883	CDKN2B	923	145285986	6.352987135318061
GSM3752530	HUVEC IR+ 2	HUVEC	HUVEC_IR	Senescent	ENSG00000169429	CXCL8	4241	145285986	29.190702536168907
GSM3752530	HUVEC IR+ 2	HUVEC	HUVEC_IR	Senescent	ENSG00000170345	FOS	80	145285986	0.5506381049029738
GSM3752531	HUVEC IR+ 3	HUVEC	HUVEC_IR	Senescent	ENSG00000090339	ICAM1	1095	140357532	7.801505087735512
GSM3752531	HUVEC IR+ 3	HUVEC	HUVEC_IR	Senescent	ENSG00000115008	IL1A	70	140357532	0.4987263526406263
GSM3752531	HUVEC IR+ 3	HUVEC	HUVEC_IR	Senescent	ENSG00000147883	CDKN2B	921	140357532	6.561813868314527
GSM3752531	HUVEC IR+ 3	HUVEC	HUVEC_IR	Senescent	ENSG00000169429	CXCL8	4061	140357532	28.93325311533691
GSM3752531	HUVEC IR+ 3	HUVEC	HUVEC_IR	Senescent	ENSG00000170345	FOS	78	140357532	0.5557236500852694
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_IR	Control	ENSG00000090339	ICAM1	1623	140808124	11.526323580591132
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_IR	Control	ENSG00000115008	IL1A	359	140808124	2.5495688018682787
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_IR	Control	ENSG00000147883	CDKN2B	1266	140808124	8.990958504638552
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_IR	Control	ENSG00000169429	CXCL8	22771	140808124	161.7165214132105
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_IR	Control	ENSG00000170345	FOS	4696	140808124	33.35034845006528
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_IR	Control	ENSG00000090339	ICAM1	1506	139001848	10.83438833129758
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_IR	Control	ENSG00000115008	IL1A	342	139001848	2.460398943760805
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_IR	Control	ENSG00000147883	CDKN2B	1200	139001848	8.632978750037914
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_IR	Control	ENSG00000169429	CXCL8	18942	139001848	136.27156956934846
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_IR	Control	ENSG00000170345	FOS	2412	139001848	17.352287287576203
GSM3752534	IMR-90 IR+ 1	IMR-90	IMR90_IR	Senescent	ENSG00000090339	ICAM1	949	202974994	4.6754527801587225
GSM3752534	IMR-90 IR+ 1	IMR-90	IMR90_IR	Senescent	ENSG00000115008	IL1A	24	202974994	0.11824116620000984
GSM3752534	IMR-90 IR+ 1	IMR-90	IMR90_IR	Senescent	ENSG00000147883	CDKN2B	1767	202974994	8.705505861475725
GSM3752534	IMR-90 IR+ 1	IMR-90	IMR90_IR	Senescent	ENSG00000169429	CXCL8	691	202974994	3.4043602435086164
GSM3752534	IMR-90 IR+ 1	IMR-90	IMR90_IR	Senescent	ENSG00000170345	FOS	224	202974994	1.1035842178667585
GSM3752535	IMR-90 IR+ 2	IMR-90	IMR90_IR	Senescent	ENSG00000090339	ICAM1	808	175077682	4.615094230000143
GSM3752535	IMR-90 IR+ 2	IMR-90	IMR90_IR	Senescent	ENSG00000115008	IL1A	25	175077682	0.14279375711634107
GSM3752535	IMR-90 IR+ 2	IMR-90	IMR90_IR	Senescent	ENSG00000147883	CDKN2B	1599	175077682	9.133088705161176
GSM3752535	IMR-90 IR+ 2	IMR-90	IMR90_IR	Senescent	ENSG00000169429	CXCL8	670	175077682	3.8268726907179405
GSM3752535	IMR-90 IR+ 2	IMR-90	IMR90_IR	Senescent	ENSG00000170345	FOS	200	175077682	1.1423500569307286
