Ensembl_ID	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Comparison	Control_n	Senescent_n	Tested_by_DESeq2	Direction	Formal_result
ENSG00000115008	IL1A	182.2803263571943	-4.488007923846887	0.40026116668333744	-11.212698851191648	3.532550074140554e-29	6.05170992724056e-28	IMR90_Replicative	2	2	True	Higher in Control	Significant decrease
ENSG00000169429	CXCL8	10488.765688000585	-6.221715133842774	0.4933841070983636	-12.610286882634387	1.853172153410072e-36	4.107910562219343e-35	IMR90_Replicative	2	2	True	Higher in Control	Significant decrease
ENSG00000147883	CDKN2B	1731.6944053272755	0.8665328648170068	0.11191470430692652	7.742797250668125	9.72530600995817e-15	8.805289127688823e-14	IMR90_Replicative	2	2	True	Higher in Senescent	Significant increase
ENSG00000090339	ICAM1	1061.4144010132304	-1.4568132599222183	0.1326073229913022	-10.985918628474023	4.466710387614325e-28	7.354023344698648e-27	IMR90_Replicative	2	2	True	Higher in Control	Significant decrease
ENSG00000170345	FOS	2817.241728544714	0.6950636410000894	1.2426080732051623	0.559358703671749	0.5759169390464374	0.9697057529989189	WI38_Doxorubicin	4	4	True	Higher in Senescent	Not significant
ENSG00000115008	IL1A	174.4066211874132	2.2364443222809443	0.38849075617647755	5.756750416128324	8.57485438581379e-09	2.0339946768739907e-06	WI38_Doxorubicin	4	4	True	Higher in Senescent	Significant increase
ENSG00000169429	CXCL8	20440.591467119993	5.336906101881336	1.2915852640418632	4.132058680493241	3.595286016317354e-05	0.0022960835243939987	WI38_Doxorubicin	4	4	True	Higher in Senescent	Significant increase
ENSG00000147883	CDKN2B	4829.500845040442	-0.5226666329295877	0.6901447583241267	-0.7573289902234064	0.448852786811507	0.9347340106778039	WI38_Doxorubicin	4	4	True	Higher in Control	Not significant
ENSG00000090339	ICAM1	15608.835073753015	1.1317540290603851	0.6580096736563953	1.7199656393674443	0.08543868763540671	0.4965592058852205	WI38_Doxorubicin	4	4	True	Higher in Senescent	Not significant
ENSG00000170345	FOS	157.11688995109617	1.34586608195314	0.39243937901107295	3.429487849421873	0.0006047215085827981	0.0027774864687113076	WI38_HRAS	2	2	True	Higher in Senescent	Significant increase
ENSG00000115008	IL1A	3453.3438028270366	7.892819102896871	0.30017549980943675	26.294015027567355	2.2450933470161317e-152	3.585039892960259e-149	WI38_HRAS	2	2	True	Higher in Senescent	Significant increase
ENSG00000169429	CXCL8	89180.28572022304	9.295229211307467	0.24628501434679592	37.74175719119791	0.0	0.0	WI38_HRAS	2	2	True	Higher in Senescent	Significant increase
ENSG00000147883	CDKN2B	7943.446221406482	3.579776817481476	0.203187515457671	17.618094347077307	1.7893157025185736e-69	5.530139918009824e-67	WI38_HRAS	2	2	True	Higher in Senescent	Significant increase
ENSG00000090339	ICAM1	19171.769882116598	2.3187873652988022	0.21956465682770301	10.56084070542557	4.525900220738654e-26	2.322999107940913e-24	WI38_HRAS	2	2	True	Higher in Senescent	Significant increase
ENSG00000170345	FOS	2929.271455114622	4.659242256363248	0.2696722242066514	17.277427328937087	6.958327053189418e-67	4.139612398600624e-64	WI38_IR	2	2	True	Higher in Senescent	Significant increase
ENSG00000115008	IL1A	260.8567299967854	3.8012094745831813	0.48468572393045023	7.842627267331344	4.412161798955727e-15	2.38163042588033e-13	WI38_IR	2	2	True	Higher in Senescent	Significant increase
ENSG00000169429	CXCL8	701.4289912221346	5.862177351845513	0.4660024103599271	12.57971465709315	2.7301422196819917e-36	5.247078587135963e-34	WI38_IR	2	2	True	Higher in Senescent	Significant increase
ENSG00000147883	CDKN2B	6540.163189424535	0.2392405301893486	0.22525035042170238	1.0621094694922981	0.2881859916797864	0.5184389338334272	WI38_IR	2	2	True	Higher in Senescent	Not significant
ENSG00000090339	ICAM1	36724.0251413611	2.4260265895650375	0.21967810443492655	11.043552090935306	2.3553406423992667e-28	3.048966652876199e-26	WI38_IR	2	2	True	Higher in Senescent	Significant increase
ENSG00000170345	FOS	2848.3499658618666	1.0165942819126104	0.25201929110100935	4.0337954982389	5.488308658836429e-05	0.0005279614983083905	WI38_Replicative	2	2	True	Higher in Senescent	Significant increase
ENSG00000115008	IL1A	42.08985295514598	0.16208375108084136	0.8474695620516808	0.1912561327730105	0.8483249275993021	0.9279170838734702	WI38_Replicative	2	2	True	Higher in Senescent	Not significant
ENSG00000169429	CXCL8	245.83631782068903	-1.052774746881098	0.6228661295158591	-1.6902102987995158	0.09098772877325915	0.22556234307063808	WI38_Replicative	2	2	True	Higher in Control	Not significant
ENSG00000147883	CDKN2B	10667.86338153905	-0.7087239204250403	0.2623087236885504	-2.701869424924413	0.006895083483008384	0.03111963975627992	WI38_Replicative	2	2	True	Higher in Control	Significant decrease
ENSG00000090339	ICAM1	16153.20035941248	-0.7315125142752844	0.21417249865625862	-3.4155296261885764	0.000636581042655657	0.00439439389687908	WI38_Replicative	2	2	True	Higher in Control	Significant decrease
