Comparison	Gene	Control_n	Senescent_n	Control_mean_CPM	Senescent_mean_CPM	Control_SD_CPM	Senescent_SD_CPM	Descriptive_log2FC	Direction
IMR90_Replicative	IL1A	2	2	2.5049838728145417	0.09771802789107527	0.0630526113452368	0.07315017256092836	-1.6749002909254045	Higher in Control
IMR90_Replicative	CXCL8	2	2	148.99404549127948	1.7093614228419496	17.992297995759998	0.8185362844259321	-5.79080856037516	Higher in Control
IMR90_Replicative	CDKN2B	2	2	8.811968627338233	13.794766197834088	0.25312991200560747	0.7435549748143998	0.5924723715948257	Higher in Senescent
IMR90_Replicative	ICAM1	2	2	11.180355955944357	3.496929769122352	0.48927210691747486	0.17280290346319346	-1.4375440368701247	Higher in Control
WI38_Doxorubicin	FOS	4	4	10.03745954425802	17.108742228736602	12.787413817862417	29.19474960691283	0.714278195152711	Higher in Senescent
WI38_Doxorubicin	IL1A	4	4	0.27482344040720025	1.2908454187854277	0.09239237313838981	0.4243177682619344	0.8455826604712721	Higher in Senescent
WI38_Doxorubicin	CXCL8	4	4	4.262646258989761	159.96969080000815	3.988998523369587	173.5255954598733	4.934856832705928	Higher in Senescent
WI38_Doxorubicin	CDKN2B	4	4	26.433668736953322	18.316616528164005	23.258185238403644	8.387530059983826	-0.5061051525670335	Higher in Control
WI38_Doxorubicin	ICAM1	4	4	45.13969901111108	101.29319284449336	32.676494364569734	81.36128750119387	1.1486296455098004	Higher in Senescent
WI38_HRAS	FOS	2	2	0.6418252700924819	1.452743883030906	0.14998050225537932	0.23287601416578524	0.5790959970406104	Higher in Senescent
WI38_HRAS	IL1A	2	2	0.21403165626598636	44.37807541022337	0.0484416384017214	11.514093587677312	5.224117476319822	Higher in Senescent
WI38_HRAS	CXCL8	2	2	2.0906949236574417	1148.9783544850495	0.231184509632701	365.56870141749044	8.539459735231684	Higher in Senescent
WI38_HRAS	CDKN2B	2	2	9.12033457049234	94.60476030239292	2.2096480776576453	6.4772608168829064	3.23982546870272	Higher in Senescent
WI38_HRAS	ICAM1	2	2	46.63771947251592	206.11830042658337	3.2700876423360388	24.17786265571265	2.1202787770885765	Higher in Senescent
WI38_IR	FOS	2	2	0.7542848490516694	17.457827988125096	0.2143255056878566	1.144389078608897	3.395277867754968	Higher in Senescent
WI38_IR	IL1A	2	2	0.11788138503894108	1.5187498805331863	0.02971750312335939	0.24568091554014507	1.1719407488508626	Higher in Senescent
WI38_IR	CXCL8	2	2	0.07926904266161819	4.286587840624135	0.07151314769727014	0.14983885896096508	2.2922823059749806	Higher in Senescent
WI38_IR	CDKN2B	2	2	20.26831164609459	22.12957078061392	0.18969064725960696	4.951653595179891	0.12103298228272187	Higher in Senescent
WI38_IR	ICAM1	2	2	38.88287927204186	191.66583377893662	4.10557314961709	17.510899953930632	2.272259283940523	Higher in Senescent
WI38_Replicative	FOS	2	2	6.768826753888405	14.208779187175885	0.8766288124295595	4.880480696115895	0.9691357074068977	Higher in Senescent
WI38_Replicative	IL1A	2	2	0.1423938140174335	0.16189821844433452	0.0021466851610793787	0.10616806626263467	0.024423622688073035	Higher in Senescent
WI38_Replicative	CXCL8	2	2	1.1906127751021232	0.5766258880735123	0.15736612301484562	0.6137447534958587	-0.474494119282036	Higher in Control
WI38_Replicative	CDKN2B	2	2	47.521018216204794	29.66698940332334	1.9205780935862662	10.876283368015017	-0.6619232824878399	Higher in Control
WI38_Replicative	ICAM1	2	2	72.3721651302469	44.6974570106249	3.5048430627410645	7.578841888207092	-0.6831189742217665	Higher in Control
