GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
1803	2.0400000000000002e-58	5.079999999999999e-60	0.1496	-16.340521	-2.4437701	7120.32	DPP4	dipeptidyl peptidase 4
117531	6.3e-10	1.01e-10	0.375	-6.465344	-2.4246348	32.24	TMC1	transmembrane channel like 1
401190	2.48e-07	5.15e-08	0.4429	-5.445956	-2.4118698	21.77	RGS7BP	regulator of G protein signaling 7 binding protein
23508	4.15e-57	1.06e-58	0.1489	-16.154337	-2.4052773	243.97	TTC9	tetratricopeptide repeat domain 9
105373623	4e-06	9.47e-07	0.4903	-4.902383	-2.4038133	17.94	LOC105373623	
1520	1.2299999999999999e-46	4.19e-48	0.1642	-14.57267	-2.3923715	173.44	CTSS	cathepsin S
684	1.62e-12	2.18e-13	0.3255	-7.337187	-2.388013	38.53	BST2	bone marrow stromal cell antigen 2
79993	0.000876	0.000289	0.6571	-3.625404	-2.3824023	9.69	ELOVL7	ELOVL fatty acid elongase 7
284716	0.00725	0.00285	0.7984	-2.983018	-2.3817309	6.53	RIMKLA	ribosomal modification protein rimK like family member A
56956	2.4100000000000002e-70	4.630000000000001e-72	0.1324	-17.951992	-2.3775137	255.21	LHX9	LIM homeobox 9
11240	1.71e-15	1.86e-16	0.2877	-8.230493	-2.3677721	55.09	PADI2	peptidyl arginine deiminase 2
1295	0.0	0.0	0.0389	-60.6934	-2.3614798	17247.77	COL8A1	collagen type VIII alpha 1 chain
105375560	0.00197	0.000692	0.6945	-3.392837	-2.3563979	8.36	LOC105375560	
27242	1.85e-194	5.47e-197	0.0784	-29.942765	-2.3478871	1014.86	TNFRSF21	TNF receptor superfamily member 21
100506658	1.48e-19	1.29e-20	0.2514	-9.309019	-2.3407458	69.89	OCLN	occludin
165186	7.75e-06	1.9e-06	0.4885	-4.763745	-2.3270199	16.94	TOGARAM2	TOG array regulator of axonemal microtubules 2
723790	8.06e-55	2.16e-56	0.1469	-15.822943	-2.324769	203.46	H2AC19	H2A clustered histone 19
27345	3.0399999999999998e-55	8.06e-57	0.1458	-15.884925	-2.3157908	241.67	KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4
7097	7.99e-07	1.74e-07	0.4431	-5.22475	-2.3151108	20.6	TLR2	toll like receptor 2
91543	0.000183	5.43e-05	0.5732	-4.036363	-2.3138322	12.75	RSAD2	radical S-adenosyl methionine domain containing 2
8337	4.2400000000000005e-56	1.1100000000000001e-57	0.1444	-16.008794	-2.3122926	207.99	H2AC18	H2A clustered histone 18
284612	1.15e-82	1.69e-84	0.1186	-19.477846	-2.3110407	5360.84	SYPL2	synaptophysin like 2
283104	8.35e-41	3.3299999999999995e-42	0.1695	-13.613538	-2.3075642	892.98	SBF2-AS1	SBF2 antisense RNA 1
389336	0.000226	6.8e-05	0.5789	-3.983188	-2.3057952	11.81	C5orf46	chromosome 5 open reading frame 46
51704	1.72e-44	6.17e-46	0.1618	-14.227705	-2.3023758	187.49	GPRC5B	G protein-coupled receptor class C group 5 member B
203447	3.45e-28	2.1000000000000002e-29	0.2041	-11.258727	-2.2980256	102.84	NRK	Nik related kinase
56344	1.78e-07	3.64e-08	0.4166	-5.507498	-2.2942271	22.95	CABP5	calcium binding protein 5
8622	2.8599999999999996e-221	6.33e-224	0.0718	-31.945038	-2.2931398	1161.63	PDE8B	phosphodiesterase 8B
3691	8.61e-25	6.05e-26	0.2173	-10.533611	-2.2887167	88.26	ITGB4	integrin subunit beta 4
1286	8.820000000000001e-72	1.61e-73	0.1255	-18.13758	-2.275881	287.85	COL4A4	collagen type IV alpha 4 chain
5874	8.849999999999999e-48	2.89e-49	0.1542	-14.75411	-2.2751714	194.65	RAB27B	RAB27B, member RAS oncogene family
631	5.400000000000001e-26	3.59e-27	0.2103	-10.796078	-2.2706146	92.32	BFSP1	beaded filament structural protein 1
344148	1.6900000000000003e-163	6.7e-166	0.0823	-27.451335	-2.2595496	891.16	NCKAP5	NCK associated protein 5
28984	3.01e-10	4.7e-11	0.3425	-6.580252	-2.2538799	469.22	RGCC	regulator of cell cycle
105376235	6.39e-07	1.38e-07	0.4277	-5.267582	-2.2531784	21.46	LOC105376235	uncharacterized LOC105376235
