GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
56963	7.88e-10	1.28e-10	0.436	6.429839	2.8036573	26.34	RGMA	repulsive guidance molecule BMP co-receptor a
3892	1.23e-19	1.07e-20	0.2961	9.328513	2.7623888	59.44	KRT86	keratin 86
3861	4.83e-05	1.31e-05	0.6306	4.357632	2.747809	11.96	KRT14	keratin 14
25791	1.67e-05	4.28e-06	0.5963	4.597191	2.7412947	13.42	NGEF	neuronal guanine nucleotide exchange factor
283298	3.9799999999999996e-69	7.96e-71	0.1516	17.793313	2.6969869	251.27	OLFML1	olfactomedin like 1
10085	0.0	0.0	0.0711	37.776762	2.6873124	1149.81	EDIL3	EGF like repeats and discoidin domains 3
7074	1.44e-07	2.92e-08	0.481	5.546196	2.6676107	20.2	TIAM1	TIAM Rac1 associated GEF 1
7056	1.1900000000000001e-29	6.9e-31	0.2303	11.555782	2.6617711	93.56	THBD	thrombomodulin
100507308	5.07e-06	1.21e-06	0.5444	4.853623	2.6421003	17.36	TARID	TCF21 antisense RNA inducing promoter demethylation
22941	2.25e-55	5.96e-57	0.1657	15.903867	2.635738	192.67	SHANK2	SH3 and multiple ankyrin repeat domains 2
1364	3.01e-09	5.19e-10	0.4237	6.213152	2.6322364	28.0	CLDN4	claudin 4
26053	2.66e-67	5.44e-69	0.1498	17.55504	2.6304117	225.6	AUTS2	activator of transcription and developmental regulator AUTS2
90865	0.000422	0.000132	0.6877	3.822532	2.6287674	10.26	IL33	interleukin 33
107986467	0.00111	0.000373	0.7386	3.558562	2.6285196	9.02	LOC107986467	uncharacterized LOC107986467
107985869	0.00109	0.000366	0.7374	3.563811	2.6281309	8.57	LOC107985869	uncharacterized LOC107985869
594842	8.239999999999999e-30	4.74e-31	0.2265	11.587924	2.6242772	101.56	HAS2-AS1	HAS2 antisense RNA 1
164284	1.12e-115	8.95e-118	0.1125	23.071489	2.5952451	467.01	APCDD1L	APC down-regulated 1 like
4978	2.66e-35	1.24e-36	0.2043	12.641732	2.583043	116.69	OPCML	opioid binding protein/cell adhesion molecule like
55806	3.31e-114	2.74e-116	0.1123	22.922949	2.5731106	416.1	HR	HR lysine demethylase and nuclear receptor corepressor
6328	1.21e-45	4.23e-47	0.1772	14.413865	2.5536099	147.2	SCN3A	sodium voltage-gated channel alpha subunit 3
1311	1.6999999999999997e-52	4.889999999999999e-54	0.1645	15.477893	2.5467162	176.57	COMP	cartilage oligomeric matrix protein
5740	1.79e-81	2.73e-83	0.1314	19.334862	2.5403059	3943.52	PTGIS	prostaglandin I2 synthase
56977	3.14e-13	4e-14	0.3356	7.56113	2.5375094	39.95	STOX2	storkhead box 2
1589	2.23e-05	5.81e-06	0.5596	4.533098	2.536734	14.25	CYP21A2	cytochrome P450 family 21 subfamily A member 2
54596	2.19e-09	3.73e-10	0.4009	6.265081	2.5113718	31.91	L1TD1	LINE1 type transposase domain containing 1
90768	3.51e-10	5.51e-11	0.3799	6.556526	2.4906666	32.9	TENM3-AS1	TENM3 antisense RNA 1
131578	1.18e-31	6.3e-33	0.2078	11.952468	2.4839033	536.76	LRRC15	leucine rich repeat containing 15
388121	1.08e-09	1.77e-10	0.3881	6.380133	2.4762511	30.98	TNFAIP8L3	TNF alpha induced protein 8 like 3
255167	0.000273	8.29e-05	0.628	3.935874	2.4716906	11.19	LINC01018	long intergenic non-protein coding RNA 1018
1879	9.23e-41	3.6899999999999994e-42	0.1809	13.606056	2.4607144	151.84	EBF1	EBF transcription factor 1
100505566	1.08e-14	1.24e-15	0.306	8.000573	2.4483928	47.35	LINC00578	long intergenic non-protein coding RNA 578
4345	3.07e-07	6.43e-08	0.4521	5.40635	2.4442826	21.17	CD200	CD200 molecule
5179	1.57e-69	3.06e-71	0.1363	17.846819	2.4330363	249.41	PENK	proenkephalin
7851	1.58e-25	1.07e-26	0.227	10.695457	2.4283777	371.57	MALL	mal, T cell differentiation protein like
5730	2.4600000000000003e-21	2e-22	0.2492	9.7418	2.4271695	83.46	PTGDS	prostaglandin D2 synthase
54101	4.44e-07	9.46e-08	0.4514	5.336723	2.4089484	21.83	RIPK4	receptor interacting serine/threonine kinase 4
1131	0.000849	0.000279	0.6596	3.634513	2.3971907	10.01	CHRM3	cholinergic receptor muscarinic 3
